timestamp,btc_price,call_bid,call_ask,put_bid,put_ask,strike,period_start
1770314347457,66994.4430021797,0.945,0.955,0.04500000000000005,0.05500000000000004,66802.85200306123,1770314347457
1770314352457,66995.49266754612,0.9449444444444444,0.9550555555555555,0.04494444444444449,0.0550555555555556,66802.85200306123,1770314347457
1770314357457,66998.29733314231,0.9448888888888889,0.955111111111111,0.044888888888888936,0.05511111111111115,66802.85200306123,1770314347457
1770314362457,66984.82725296139,0.9448333333333333,0.9551666666666666,0.04483333333333338,0.05516666666666671,66802.85200306123,1770314347457
1770314367457,66976.7583672034,0.9344286983619082,0.9448731428063527,0.05512685719364731,0.06557130163809176,66802.85200306123,1770314347457
1770314372457,66965.52650090819,0.9071364421159365,0.9176919976714921,0.08230800232850792,0.09286355788406349,66802.85200306123,1770314347457
1770314377457,66964.66545537015,0.9060567996554584,0.916723466322125,0.08327653367787499,0.09394320034454165,66802.85200306123,1770314347457
1770314382457,66959.88662164447,0.8949826599069222,0.9057604376846999,0.09423956231530006,0.10501734009307784,66802.85200306123,1770314347457
1770314387457,66958.06952115675,0.8914185279588832,0.9023074168477722,0.09769258315222787,0.10858147204111676,66802.85200306123,1770314347457
1770314392457,66954.74291700324,0.8839638819025998,0.8949638819025997,0.10503611809740027,0.11603611809740028,66802.85200306123,1770314347457
1770314397457,66947.94428435192,0.8675388820490857,0.8786499931601968,0.12135000683980322,0.13246111795091434,66802.85200306123,1770314347457
1770314402457,66957.45772501835,0.8930855930763121,0.9043078152985343,0.09569218470146569,0.10691440692368791,66802.85200306123,1770314347457
1770314407457,66965.10293922364,0.9139478234085332,0.9252811567418666,0.07471884325813342,0.08605217659146676,66802.85200306123,1770314347457
1770314412457,66982.63971611774,0.9442777777777778,0.9557222222222221,0.04427777777777782,0.05572222222222227,66802.85200306123,1770314347457
1770314417457,66969.70093806757,0.9282223421809268,0.9397778977364823,0.060222102263517645,0.07177765781907319,66802.85200306123,1770314347457
1770314422457,66979.44877737151,0.9441666666666666,0.9558333333333333,0.04416666666666671,0.05583333333333338,66802.85200306123,1770314347457
1770314427457,66974.47326694509,0.9431202317374953,0.9548980095152731,0.045101990484726906,0.05687976826250468,66802.85200306123,1770314347457
